index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
13,1935.0,Little House on the Prairie,"Laura Ingalls Wilder, Garth Williams",eng,Intermediate,4.18,195424,genre fiction,6897.34,4138.404,1.99,13,HarperCollins Publishers,3466
14,1922.0,The Velveteen Rabbit,"Margery Williams Bianco, William   Nicholson",eng,Intermediate,4.29,173469,genre fiction,21797.82,13078.692,6.54,15,Random House LLC,3333
15,1974.0,Zen and the Art of Motorcycle Maintenance,Robert M. Pirsig,eng,Intermediate,3.76,139411,genre fiction,16297.34,0.0,4.99,16,"Amazon Digital Services,  Inc.",3266
16,1897.0,The War of the Worlds,"H.G. Wells, Arthur C. Clarke",eng,Intermediate,3.8,159752,genre fiction,15968.0,0.0,4.99,17,"Amazon Digital Services,  Inc.",3200
17,2006.0,Pretty Little Liars,Sara Shepard,en-US,Intermediate,3.9,156328,genre fiction,15968.0,0.0,4.99,17,"Amazon Digital Services,  Inc.",3200
18,1948.0,Corduroy,Don Freeman,en-US,Intermediate,4.28,160860,genre fiction,6234.67,3740.802,1.99,18,Simon and Schuster Digital Sales Inc,3133
19,2006.0,The Omnivore's Dilemma,Michael Pollan,eng,Intermediate,4.17,133271,genre fiction,3035.34,0.0,0.99,19,"Amazon Digital Services,  Inc.",3066
20,2013.0,Life After Life,Kate Atkinson,eng,Intermediate,3.74,138454,genre fiction,11702.67,0.0,3.99,21,"Amazon Digital Services,  Inc.",2933
21,2000.0,The Rescue,Nicholas Sparks,en-US,Intermediate,4.1,142092,genre fiction,8569.34,0.0,2.99,22,"Amazon Digital Services,  Inc.",2866
22,1991.0,Needful Things,Stephen King,,Intermediate,3.87,153821,genre fiction,2772.0,0.0,0.99,23,"Amazon Digital Services,  Inc.",2800
23,1993.0,Voyager,Diana Gabaldon,eng,Intermediate,4.38,157395,genre fiction,8171.67,0.0,2.99,24,"Amazon Digital Services,  Inc.",2733
24,1996.0,,"Kenneth Branagh, William Shakespeare",eng,Intermediate,4.12,156869,genre fiction,2639.34,1583.604,0.99,25,"Amazon Digital Services,  Inc.",2666
25,1981.0,Cujo,Stephen King,spa,Intermediate,3.65,158215,genre fiction,7774.0,0.0,2.99,26,"Amazon Digital Services,  Inc.",2600
26,1993.0,The Virgin Suicides,Jeffrey Eugenides,eng,Intermediate,3.83,159249,genre fiction,26904.06,16142.436,10.91,28,Penguin Group (USA) LLC,2466
27,2004.0,Dead to the World,Charlaine Harris,eng,Intermediate,4.13,199572,genre fiction,2376.0,0.0,0.99,29,"Amazon Digital Services,  Inc.",2400
28,1891.0,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",eng,Intermediate,3.77,171599,nonfiction,9576.0,5745.6,3.99,29,Hachette Book Group,2400
29,1856.0,Madame Bovary,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",eng,Intermediate,3.64,158877,genre fiction,9308.67,0.0,3.99,30,"Amazon Digital Services,  Inc.",2333
30,1961.0,The Phantom Tollbooth,"Norton Juster, Jules Feiffer",en-US,Intermediate,4.22,178432,genre fiction,4509.34,0.0,1.99,31,"Amazon Digital Services,  Inc.",2266
31,2010.0,The Way of Kings,Brandon Sanderson,eng,Famous,4.64,144822,genre fiction,2178.0,0.0,0.99,32,"Amazon Digital Services,  Inc.",2200
32,2003.0,Club Dead,Charlaine Harris,en-GB,Intermediate,4.03,181323,genre fiction,13178.0,7906.8,5.99,32,HarperCollins Publishers,2200
33,2006.0,It's Kind of a Funny Story,Ned Vizzini,en-US,Intermediate,4.14,161001,nonfiction,2045.34,1227.204,0.99,34,HarperCollins Publishers,2066
34,2007.0,,Brandon Sanderson,eng,Intermediate,4.35,150736,genre fiction,17980.0,10788.0,8.99,35,Random House LLC,2000
35,2015.0,After You,Jojo Moyes,eng,Intermediate,3.7,99342,genre fiction,1964.16,0.0,0.99,36,"Amazon Digital Services,  Inc.",1984
36,2011.0,The Language of Flowers,Vanessa Diffenbaugh,eng,Intermediate,4.07,140076,genre fiction,1964.16,1178.496,0.99,36,"Amazon Digital Services,  Inc.",1984
37,1986.0,Batman: The Dark Knight Returns,"Frank Miller, Klaus Janson, Lynn Varley",eng,Intermediate,4.25,135979,genre fiction,1949.31,0.0,0.99,37,"Amazon Digital Services,  Inc.",1969
38,2005.0,The Angel Experiment,James Patterson,eng,Intermediate,4.08,172302,genre fiction,1949.31,0.0,0.99,37,"Amazon Digital Services,  Inc.",1969
39,1995.0,High Fidelity,Nick Hornby,eng,Intermediate,3.94,134849,genre fiction,20309.55,12185.73,10.65,41,Random House LLC,1907
40,2003.0,The Guardian,Nicholas Sparks,en-US,Intermediate,4.14,136427,genre fiction,1873.08,0.0,0.99,42,"Amazon Digital Services,  Inc.",1892
41,2003.0,Oryx and Crake,Margaret Atwood,eng,Intermediate,4.0,151500,genre fiction,7485.24,0.0,3.99,43,"Amazon Digital Services,  Inc.",1876
42,1998.0,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",John Gray,en-US,Intermediate,3.52,113915,genre fiction,3703.39,2222.034,1.99,44,"Amazon Digital Services,  Inc.",1861
43,2000.0,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,eng,Intermediate,4.0,134177,genre fiction,11057.54,6634.524,5.99,45,HarperCollins Publishers,1846
44,1999.0,Timeline,Michael Crichton,en-US,Intermediate,3.83,148563,genre fiction,12791.7,7675.02,6.99,46,"Amazon Digital Services,  Inc.",1830
45,1759.0,Candide,Voltaire,eng,Intermediate,3.76,151471,genre fiction,8982.0,0.0,4.99,48,"Amazon Digital Services,  Inc.",1800
46,1975.0,Tuck Everlasting,Natalie Babbitt,eng,Intermediate,3.85,174280,nonfiction,3582.0,2149.2,1.99,48,"Amazon Digital Services,  Inc.",1800
47,1983.0,Christine,"Stephen King, Marie Milpois",fre,Intermediate,3.72,151160,nonfiction,1766.16,1059.696,0.99,49,"Amazon Digital Services,  Inc.",1784
48,1960.0,Are You My Mother?,P.D. Eastman,eng,Intermediate,4.16,174204,genre fiction,10596.31,6357.786,5.99,50,Penguin Group (USA) LLC,1769
49,1950.0,The Story of Art,E.H. Gombrich,en-US,Intermediate,3.83,164708,genre fiction,15058.27,9034.962,8.59,51,Hachette Book Group,1753
50,2013.0,Scarlet,Marissa Meyer,eng,Intermediate,4.3,193766,genre fiction,1720.62,1032.372,0.99,52,"Amazon Digital Services,  Inc.",1738
51,1997.0,"Rich Dad , Poor Dad",Robert T. Kiyosaki,eng,Intermediate,3.95,153764,genre fiction,1705.77,1023.462,0.99,53,Random House LLC,1723
52,2011.0,Silence ,Becca Fitzpatrick,eng,Intermediate,4.16,190722,genre fiction,8517.93,0.0,4.99,54,"Amazon Digital Services,  Inc.",1707
53,2009.0,The Magicians,Lev Grossman,eng,Novice,3.47,147908,genre fiction,1675.08,1005.048,0.99,55,Macmillan,1692
54,2004.0,ãƒ‡ã‚¹ãƒŽãƒ¼ãƒˆ #1 (Desu NÅto) Taikutsu (é€€å±ˆ),"Tsugumi Ohba, Takeshi Obata",eng,Famous,4.42,139501,genre fiction,6687.24,0.0,3.99,56,"Amazon Digital Services,  Inc.",1676
55,2003.0,A Great and Terrible Beauty,Libba Bray,eng,Intermediate,3.79,173613,genre fiction,4966.39,2979.834,2.99,57,Penguin Group (USA) LLC,1661
56,2002.0,Everything Is Illuminated,Jonathan Safran Foer,eng,Intermediate,3.9,131492,genre fiction,1629.54,977.724,0.99,58,"Amazon Digital Services,  Inc.",1646
57,1986.0,The Bourne Supremacy,Robert Ludlum,en-US,Intermediate,4.09,142168,genre fiction,17783.3,10669.98,10.91,59,Penguin Group (USA) LLC,1630
58,2012.0,Easy,Tammara Webber,en-CA,Intermediate,4.11,133937,genre fiction,1613.7,0.0,0.99,59,"Amazon Digital Services,  Inc.",1630
59,1849.0,David Copperfield,"Charles Dickens, Jeremy Tambling",eng,Intermediate,3.96,150512,genre fiction,18394.85,11036.91,11.39,60,Hachette Book Group,1615
60,2007.0,The Absolutely True Diary of a Part-Time Indian,"Sherman Alexie, Ellen Forney",eng,Intermediate,4.11,160607,genre fiction,10384.0,6230.4,6.49,61,Random House LLC,1600
61,1967.0,ÐœÐ°ÑÑ‚ÐµÑ€ Ð¸ ÐœÐ°Ñ€Ð³Ð°Ñ€Ð¸Ñ‚Ð°,"Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",eng,Intermediate,4.32,131389,genre fiction,6320.16,0.0,3.99,62,"Amazon Digital Services,  Inc.",1584
62,1968.0,A Wizard of Earthsea,Ursula K. Le Guin,en-US,Intermediate,3.99,155042,genre fiction,4707.0,0.0,3.0,63,"Amazon Digital Services,  Inc.",1569
63,2000.0,Because of Winn-Dixie,"Kate DiCamillo, Chris Sheban",eng,Intermediate,4.0,154476,genre fiction,1522.62,0.0,0.99,65,"Amazon Digital Services,  Inc.",1538
64,1959.0,A Separate Peace,John Knowles,en-US,Intermediate,3.56,155901,genre fiction,5924.47,0.0,3.89,66,"Amazon Digital Services,  Inc.",1523
65,1995.0,The Rainmaker,John Grisham,eng,Intermediate,3.91,137412,genre fiction,12040.93,0.0,7.99,67,"Amazon Digital Services,  Inc.",1507
66,1605.0,Don Quijote de La Mancha,"Miguel de Cervantes Saavedra, Roberto GonzÃ¡lez EchevarrÃ­a, John Rutherford",eng,Intermediate,3.85,134931,genre fiction,13413.08,8047.848,8.99,68,Hachette Book Group,1492
67,1995.0,Assassin's Apprentice,Robin Hobb,eng,Intermediate,4.14,132777,genre fiction,2907.39,0.0,1.99,70,"Amazon Digital Services,  Inc.",1461
68,1980.0,The Restaurant at the End of the Universe,Douglas Adams,eng,Intermediate,4.22,153838,genre fiction,11553.54,6932.124,7.99,71,Penguin Group (USA) LLC,1446
69,2010.0,Torment,Lauren Kate,eng,Intermediate,3.89,174393,genre fiction,5705.7,0.0,3.99,72,"Amazon Digital Services,  Inc.",1430
70,1901.0,The Tale of Peter Rabbit,Beatrix Potter,eng,Intermediate,4.17,162373,genre fiction,9890.85,5934.51,6.99,73,Penguin Group (USA) LLC,1415
71,1953.0,The Silver Chair,"C.S. Lewis, Pauline Baynes",eng,Intermediate,3.95,170453,genre fiction,5245.36,3147.216,3.79,75,Hachette Book Group,1384
72,2008.0,The Hero of Ages,Brandon Sanderson,eng,Famous,4.46,143622,nonfiction,5826.64,3495.984,4.21,75,"Amazon Digital Services,  Inc.",1384
73,1993.0,"Girl, Interrupted",Susanna Kaysen,eng,Intermediate,3.9,145161,genre fiction,2724.31,1634.586,1.99,76,Hachette Book Group,1369
74,2007.0,"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,,Intermediate,3.85,127096,genre fiction,5462.31,3277.386,3.99,76,Hachette Book Group,1369
75,1970.0,Jonathan Livingston Seagull,"Richard Bach, Russell Munson",en-US,Intermediate,3.8,133728,genre fiction,6751.47,0.0,4.99,77,"Amazon Digital Services,  Inc.",1353
76,2014.0,City of Heavenly Fire,Cassandra Clare,eng,Famous,4.48,177796,genre fiction,6676.62,0.0,4.99,78,"Amazon Digital Services,  Inc.",1338
77,1986.0,Love You Forever,"Robert Munsch, Sheila McGraw",en-GB,Intermediate,4.34,159703,genre fiction,1309.77,785.862,0.99,79,"Amazon Digital Services,  Inc.",1323
78,2006.0,Cell,Stephen King,en-US,Intermediate,3.64,144591,genre fiction,5933.78,3560.268,4.54,80,HarperCollins Publishers,1307
79,2013.0,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,eng,Intermediate,4.32,113565,genre fiction,8482.43,5089.458,6.49,80,Hachette Book Group,1307
80,1977.0,The Silmarillion,"J.R.R. Tolkien, Christopher Tolkien, Ted Nasmith",eng,Intermediate,3.87,134106,genre fiction,6447.08,3868.248,4.99,81,Random House LLC,1292
81,1987.0,The Drawing of the Three,Stephen King,eng,Intermediate,4.23,139052,nonfiction,2539.24,1523.544,1.99,82,HarperCollins Publishers,1276
82,2008.0,The Forgotten Garden,Kate Morton,en-GB,Intermediate,4.12,138377,genre fiction,4907.7,0.0,3.99,85,"Amazon Digital Services,  Inc.",1230
83,1925.0,Der ProzeÃŸ,"Franz Kafka, Edwin Muir, Willa Muir, Max Brod",eng,Intermediate,3.98,131856,genre fiction,1202.85,0.0,0.99,86,"Amazon Digital Services,  Inc.",1215
84,2002.0,This Lullaby,Sarah Dessen,eng,Intermediate,4.03,151829,genre fiction,2417.85,1450.71,1.99,86,HarperCollins Publishers,1215
85,2000.0,Plain Truth,Jodi Picoult,eng,Intermediate,3.97,128406,genre fiction,1188.0,0.0,0.99,87,"Amazon Digital Services,  Inc.",1200
86,2010.0,Orange Is the New Black: My Year in a Women's Prison,Piper Kerman,eng,Intermediate,3.7,127186,fiction,2388.0,0.0,1.99,87,"Amazon Digital Services,  Inc.",1200
87,1902.0,The Hound of the Baskervilles,"Arthur Conan Doyle, Anne Perry",eng,Intermediate,4.09,154517,genre fiction,2356.16,1413.696,1.99,88,Macmillan,1184
88,2011.0,"Thinking, Fast and Slow",Daniel Kahneman,eng,Intermediate,4.08,136950,genre fiction,1157.31,694.386,0.99,89,"Amazon Digital Services,  Inc.",1169
89,1982.0,The Mists of Avalon,Marion Zimmer Bradley,eng,Intermediate,4.12,157736,genre fiction,1157.31,694.386,0.99,89,"Amazon Digital Services,  Inc.",1169
90,1970.0,"Are You There God? It's Me, Margaret",Judy Blume,eng,Intermediate,3.89,151789,genre fiction,1111.77,0.0,0.99,92,"Amazon Digital Services,  Inc.",1123
91,2002.0,Nights in Rodanthe,Nicholas Sparks,eng,Intermediate,3.82,129807,genre fiction,5603.77,3362.262,4.99,92,"Amazon Digital Services,  Inc.",1123
92,2014.0,Mr. Mercedes,Stephen King,eng,Intermediate,3.92,125847,genre fiction,2202.93,1321.758,1.99,93,Macmillan,1107
93,2007.0,All Together Dead,Charlaine Harris,eng,Intermediate,4.05,162689,genre fiction,6983.24,4189.944,6.49,95,Random House LLC,1076
94,1997.0,Midwives,Chris Bohjalian,en-US,Intermediate,3.97,133155,genre fiction,6885.89,4131.534,6.49,96,Random House LLC,1061
95,1985.0,The Polar Express,Chris Van Allsburg,en-US,Intermediate,4.29,168001,nonfiction,1035.54,621.324,0.99,97,"Amazon Digital Services,  Inc.",1046
96,1989.0,The True Story of the Three Little Pigs,"Jon Scieszka, Lane Smith",en-GB,Intermediate,4.29,141945,genre fiction,1019.7,0.0,0.99,98,"Amazon Digital Services,  Inc.",1030
97,1987.0,Patriot Games,Tom Clancy,eng,Intermediate,4.11,141674,genre fiction,6079.85,0.0,5.99,99,"Amazon Digital Services,  Inc.",1015
98,1998.0,Veronika decide morrer,"Paulo Coelho, Margaret Jull Costa",eng,Intermediate,3.69,111856,genre fiction,6932.45,4159.47,6.83,99,Penguin Group (USA) LLC,1015
99,2013.0,"Lean In: Women, Work, and the Will to Lead","Sheryl Sandberg, Nell Scovell",eng,Intermediate,3.94,135635,genre fiction,985.05,0.0,0.99,101,"Amazon Digital Services,  Inc.",995
100,2005.0,Dead as a Doornail ,Charlaine Harris,eng,Intermediate,4.01,169560,genre fiction,5068.8,3041.28,5.12,102,Penguin Group (USA) LLC,990
101,2011.0,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,en-US,Intermediate,4.01,176433,fiction,2195.2,1317.12,2.24,104,"Amazon Digital Services,  Inc.",980
102,1959.0,Starship Troopers,Robert A. Heinlein,en-CA,Intermediate,3.99,136886,genre fiction,7312.5,4387.5,7.5,105,Hachette Book Group,975
103,2011.0,I've Got Your Number,Sophie Kinsella,eng,Intermediate,3.93,144533,genre fiction,960.3,0.0,0.99,106,"Amazon Digital Services,  Inc.",970
104,1991.0,Sofies Verden,"Jostein Gaarder, Paulette MÃ¸ller",eng,Intermediate,3.88,109692,genre fiction,10224.0,6134.4,10.65,108,Penguin Group (USA) LLC,960
105,2011.0,,Mark Cotta Vaz,eng,Intermediate,4.3,188136,genre fiction,7670.4,4602.24,7.99,108,Penguin Group (USA) LLC,960
106,1950.0,The Martian Chronicles,Ray Bradbury,en-US,Intermediate,4.12,143236,genre fiction,1880.55,0.0,1.99,111,"Amazon Digital Services,  Inc.",945
107,2010.0,A Visit From the Goon Squad,Jennifer Egan,eng,Intermediate,3.64,120126,genre fiction,4690.6,2814.36,4.99,112,Macmillan,940
108,1880.0,Heidi,"Johanna Spyri, Angelo  Rinaldi, Beverly Cleary",eng,Intermediate,3.97,144497,genre fiction,3730.65,2238.39,3.99,113,Penguin Group (USA) LLC,935
109,2002.0,Prey,Michael Crichton,,Intermediate,3.72,131352,genre fiction,1850.7,0.0,1.99,114,"Amazon Digital Services,  Inc.",930
110,1956.0,The Last Battle,C.S. Lewis,eng,Intermediate,4.02,158701,genre fiction,5980.0,3588.0,6.5,116,"Amazon Digital Services,  Inc.",920
111,2007.0,World Without End,Ken Follett,eng,Intermediate,4.23,128715,genre fiction,905.85,543.51,0.99,117,Random House LLC,915
112,2008.0,Chosen: A House of Night Novel,"P.C. Cast, Kristin Cast",en-US,Intermediate,3.9,180961,fiction,7759.2,4655.52,8.48,117,"Amazon Digital Services,  Inc.",915
113,2012.0,Slammed,Colleen Hoover,eng,Intermediate,4.29,153882,genre fiction,900.9,0.0,0.99,118,"Amazon Digital Services,  Inc.",910
114,2007.0,"Beastly (Beastly, #1, Kendra Chronicles, #1)",Alex Flinn,eng,Intermediate,3.84,150003,genre fiction,895.95,537.57,0.99,119,"Amazon Digital Services,  Inc.",905
115,1390.0,Tales of Caunterbury,"Geoffrey Chaucer, Nevill Coghill",eng,Novice,3.48,148480,genre fiction,891.0,0.0,0.99,120,"Amazon Digital Services,  Inc.",900
116,2006.0,Baby Proof,Emily Giffin,en-US,Intermediate,3.71,124371,nonfiction,5841.0,3504.6,6.49,120,Macmillan,900
117,2011.0,Inheritance,Christopher Paolini,en-US,Intermediate,4.08,146905,nonfiction,10731.05,6438.63,11.99,121,Random House LLC,895
118,2009.0,ã„ã¡ãã‚…ã†ã¯ã¡ã‚ˆã‚“ [Ichi-KyÅ«-Hachi-Yon],"Haruki Murakami, Jay Rubin, Philip Gabriel",eng,Intermediate,3.89,125195,genre fiction,2661.1,0.0,2.99,122,"Amazon Digital Services,  Inc.",890
119,1852.0,Uncle Tom's Cabin or Life Among the Lowly,Harriet Beecher Stowe,eng,Intermediate,3.83,137858,fiction,1771.1,1062.66,1.99,122,HarperCollins Publishers,890
120,1909.0,Le FantÃ´me de l'OpÃ©ra,"Gaston Leroux, Alexander Teixeira de Mattos",eng,Intermediate,3.97,141110,genre fiction,3531.15,0.0,3.99,123,"Amazon Digital Services,  Inc.",885
121,2006.0,"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,en-US,Intermediate,4.02,163054,genre fiction,6525.0,3915.0,7.5,126,Simon and Schuster Digital Sales Inc,870
122,1995.0,Ensaio Sobre a Cegueira,"JosÃ© Saramago, Giovanni Pontiero",en-US,Intermediate,4.08,98738,genre fiction,3451.35,0.0,3.99,127,"Amazon Digital Services,  Inc.",865
123,2010.0,Freedom,Jonathan Franzen,en-US,Intermediate,3.73,119213,genre fiction,6871.4,4122.84,7.99,128,Random House LLC,860
124,2011.0,Crossed,Ally Condie,eng,Intermediate,3.52,100886,genre fiction,841.5,504.9,0.99,130,"Amazon Digital Services,  Inc.",850
125,2006.0,"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,en-US,Intermediate,3.82,150222,genre fiction,10131.55,6078.93,11.99,131,Hachette Book Group,845
126,2008.0,The White Tiger,Aravind Adiga,eng,Intermediate,3.71,114531,genre fiction,6711.6,4026.96,7.99,132,Random House LLC,840
127,2001.0,The Corrections,Jonathan Franzen,eng,Intermediate,3.78,117657,genre fiction,816.75,0.0,0.99,135,"Amazon Digital Services,  Inc.",825
128,1995.0,Dreams from My Father,Barack Obama,eng,Intermediate,3.81,128961,nonfiction,1641.75,985.05,1.99,135,HarperCollins Publishers,825
129,1980.0,Congo,Michael Crichton,eng,Intermediate,3.55,129811,nonfiction,5696.85,3418.11,6.99,137,Random House LLC,815
130,1972.0,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Judith Viorst, Ray Cruz",en-CA,Intermediate,4.22,146073,genre fiction,2421.9,0.0,2.99,138,"Amazon Digital Services,  Inc.",810
131,1999.0,Interpreter of Maladies,Jhumpa Lahiri,eng,Intermediate,4.12,110651,genre fiction,8573.25,5143.95,10.65,139,Penguin Group (USA) LLC,805
132,1980.0,A People's History of the United States: 1492 to Present ,Howard Zinn,eng,Intermediate,4.07,137372,genre fiction,3192.0,0.0,3.99,140,"Amazon Digital Services,  Inc.",800
133,1958.0,Breakfast at Tiffany's,Truman Capote,eng,Intermediate,3.89,129778,genre fiction,792.0,475.2,0.99,140,"Amazon Digital Services,  Inc.",800
134,2010.0,The Passage,Justin Cronin,eng,Intermediate,4.04,126993,genre fiction,3172.05,0.0,3.99,141,"Amazon Digital Services,  Inc.",795
135,2005.0,Anansi Boys,Neil Gaiman,eng,Intermediate,4.0,137639,nonfiction,1572.1,943.26,1.99,142,"Amazon Digital Services,  Inc.",790
136,2009.0,Along for the Ride,Sarah Dessen,eng,Intermediate,4.08,151721,genre fiction,9412.15,5647.29,11.99,143,Penguin Group (USA) LLC,785
137,2014.0,Everything I Never Told You,Celeste Ng,eng,Intermediate,3.78,108703,genre fiction,3112.2,0.0,3.99,144,"Amazon Digital Services,  Inc.",780
138,1982.0,La casa de los espÃ­ritus,"Isabel Allende, Magda Bogin",en-US,Intermediate,4.2,119930,genre fiction,8269.25,4961.55,10.67,145,Simon and Schuster Digital Sales Inc,775
139,1979.0,The Dead Zone,Stephen King,en-US,Intermediate,3.9,132723,genre fiction,1512.4,907.44,1.99,148,HarperCollins Publishers,760
140,1920.0,The Mysterious Affair at Styles,"Agatha Christie, Î¡Î¿Î¶Î¯Ï„Î± Î£ÏŽÎºÎ¿Ï…",eng,Intermediate,3.98,135514,genre fiction,3012.45,0.0,3.99,149,"Amazon Digital Services,  Inc.",755
141,1934.0,Murder in the Calais Coach,Agatha Christie,eng,Intermediate,4.16,138444,genre fiction,3742.5,0.0,4.99,150,"Amazon Digital Services,  Inc.",750
142,2013.0,Americanah,Chimamanda Ngozi Adichie,eng,Intermediate,4.26,113252,genre fiction,2992.5,0.0,3.99,150,"Amazon Digital Services,  Inc.",750
143,2001.0,Suzanne's Diary for Nicholas,James Patterson,eng,Intermediate,4.16,121398,genre fiction,3717.55,2230.53,4.99,151,Random House LLC,745
144,1980.0,Firestarter,Stephen King,eng,Intermediate,3.85,142213,genre fiction,2952.6,1771.56,3.99,152,Macmillan,740
145,2013.0,Entwined with You,Sylvia Day,eng,Intermediate,4.19,141641,genre fiction,727.65,0.0,0.99,153,"Amazon Digital Services,  Inc.",735
146,2009.0,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,eng,Intermediate,4.27,109642,genre fiction,3642.7,0.0,4.99,154,"Amazon Digital Services,  Inc.",730
147,2014.0,The Storied Life of A.J. Fikry,Gabrielle Zevin,eng,Intermediate,3.98,115393,genre fiction,5444.75,3266.85,7.51,155,Random House LLC,725
148,1939.0,Mad About Madeline,Ludwig Bemelmans,en-GB,Intermediate,4.22,156726,genre fiction,712.8,0.0,0.99,156,"Amazon Digital Services,  Inc.",720
149,1937.0,Think and Grow Rich,Napoleon Hill,eng,Intermediate,4.17,87445,genre fiction,702.9,0.0,0.99,158,"Amazon Digital Services,  Inc.",710
150,1932.0,Little House In The Big Woods,"Laura Ingalls Wilder, Garth Williams",eng,Intermediate,4.16,165127,genre fiction,697.95,418.77,0.99,159,"Amazon Digital Services,  Inc.",705
151,2004.0,Jonathan Strange & Mr Norrell,Susanna Clarke,eng,Intermediate,3.8,133683,genre fiction,5593.0,3355.8,7.99,160,Hachette Book Group,700
152,2001.0,A Bend in the Road,Nicholas Sparks,eng,Intermediate,4.02,116800,genre fiction,1353.2,811.92,1.99,164,HarperCollins Publishers,680
153,2013.0,The House of Hades,Rick Riordan,eng,Famous,4.54,159774,nonfiction,668.25,400.95,0.99,165,"Amazon Digital Services,  Inc.",675
154,2008.0,Gone,Michael  Grant,eng,Intermediate,3.85,144606,genre fiction,3678.3,2206.98,5.49,166,"Amazon Digital Services,  Inc.",670
155,2003.0,The Wedding,Nicholas Sparks,en-US,Intermediate,3.98,118045,genre fiction,658.35,395.01,0.99,167,"Amazon Digital Services,  Inc.",665
156,2005.0,1776,David McCullough,eng,Intermediate,4.06,130293,genre fiction,7814.4,4688.64,11.84,168,Random House LLC,660
157,2003.0,Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,eng,Intermediate,3.98,112167,genre fiction,648.45,0.0,0.99,169,"Amazon Digital Services,  Inc.",655
158,2012.0,Beautiful Ruins,Jess Walter,eng,Intermediate,3.67,116053,genre fiction,9818.45,5891.07,14.99,169,Random House LLC,655
159,2006.0,The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,en-US,Intermediate,3.69,110873,genre fiction,3243.5,0.0,4.99,170,"Amazon Digital Services,  Inc.",650
160,1999.0,On Writing: A Memoir of the Craft,Stephen King,eng,Intermediate,4.31,131481,genre fiction,1943.5,0.0,2.99,170,"Amazon Digital Services,  Inc.",650
